Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$19.15,0.0149,0.078%,39225309.00,United States,,1878,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.4984,-0.0042,-0.836%,68391150.00,Canada,2015,714628,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$44.27,-0.50,-1.117%,154215740.00,United States,1988,16436,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$10.53,0.31,3.033%,16278159.00,United States,,324292,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.70,-0.01,-0.103%,139437500.00,United States,2021,8205,,
AE,Adams Resources & Energy Inc. Common Stock,$28.42,0.03,0.106%,120813846.00,United States,,12943,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$9.03,0.02,0.222%,458288555.00,United States,,12058,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$1.44,-0.08,-5.263%,54626527.00,,2018,43444,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.12,-0.05,-2.304%,84142825.00,United States,,219889,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$22.39,0.54,2.471%,67385907.00,United States,2014,24542,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.25,-0.01,-0.794%,40046934.00,United States,,121879,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$2.48,0.13,5.532%,57594702.00,China,,222884,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$1.63,-0.06,-3.55%,318973279.00,United States,,1454544,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.81,-0.13,-4.422%,16300810.00,United States,,111408,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$97.00,8.14,9.16%,673885093.00,United States,2020,720163,Consumer Durables,Specialty Chemicals
APT,Alpha Pro Tech Ltd. Common Stock,$8.20,-0.32,-3.756%,109324458.00,Canada,,141794,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$4.08,0.09,2.256%,101757003.00,United States,,7019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.14,0.00,0.00%,114989570.00,Canada,,378206,,
ASXC,Asensus Surgical Inc. Common Stock,$2.89,-0.04,-1.365%,674008164.00,United States,,7784947,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$7.67,-0.07,-0.904%,154894645.00,United States,,105339,Health Care,Major Pharmaceuticals
