Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$19.50,1.39,7.675%,40083440.00,United States,,13622,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.3362,-0.0038,-1.118%,46133837.00,Canada,2015,488973,,
ACU,Acme United Corporation. Common Stock,$35.19,2.20,6.669%,125265386.00,United States,1988,11984,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$35.93,1.46,4.236%,158696019.00,United States,,16692,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.83,0.00,0.00%,141306250.00,United States,2021,11,,
AE,Adams Resources & Energy Inc. Common Stock,$28.34,-0.455,-1.58%,123420728.00,United States,,5733,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$7.91,-0.02,-0.252%,401446564.00,United States,,46311,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.70,-0.0202,-2.805%,26557423.00,,2018,170728,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$1.44,0.00,0.00%,57153617.00,United States,,434620,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$20.90,0.60,2.956%,63173803.00,United States,2014,14976,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$0.9937,-0.0159,-1.575%,31925600.00,United States,,157703,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$1.18,0.04,3.509%,27423598.00,China,,911878,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$1.09,-0.07,-6.034%,220321358.00,United States,,715986,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.72,0.15,5.837%,15960960.00,United States,,38696,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$6.10,-0.31,-4.836%,80717585.00,Canada,,2679750,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$4.30,-0.92,-17.625%,116471086.00,United States,,87204,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.8767,-0.0198,-2.209%,89636623.00,Canada,,543907,,
ASXC,Asensus Surgical Inc. Common Stock,$1.40,-0.03,-2.098%,328145621.00,United States,,3383204,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$6.99,-0.30,-4.115%,153995558.00,United States,,104759,Health Care,Biotechnology: Pharmaceutical Preparations
AUMN,Golden Minerals Company Common Stock,$0.4056,-0.0074,-1.792%,66033551.00,United States,,216072,Basic Industries,Metal Mining
AWX,Avalon Holdings Corporation Common Stock,$4.08,0.05,1.241%,15909678.00,United States,,11414,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.10,0.03,1.449%,316907478.00,Canada,,960943,,
BATL,Battalion Oil Corporation Common Stock,$11.50,0.01,0.087%,187150000.00,,,7813,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$28.07,-0.33,-1.162%,154884253.00,United States,,21565,Finance,Finance/Investors Services
