,submission,comment,ticker,count
0,0.0,4.0,DOCU,1.0
1,0.0,15.0,BABA,1.0
2,0.0,23.0,ON,1.0
3,0.0,23.0,NEXT,1.0
4,0.0,24.0,DKNG,1.0
5,0.0,25.0,XLNX,1.0
6,0.0,25.0,AMD,1.0
7,0.0,27.0,DKNG,1.0
8,0.0,27.0,AMZN,1.0
9,0.0,32.0,ATVI,1.0
10,0.0,37.0,DOCU,1.0
11,0.0,38.0,DOCU,1.0
12,0.0,39.0,LI,1.0
13,0.0,41.0,RKLB,1.0
14,0.0,50.0,DOCU,1.0
15,0.0,50.0,BABA,1.0
16,0.0,52.0,WISH,1.0
17,0.0,57.0,SNOW,1.0
18,0.0,58.0,UK,1.0
19,0.0,58.0,BP,1.0
20,0.0,58.0,BY,1.0
21,0.0,58.0,BOE,1.0
22,0.0,59.0,BABA,1.0
23,0.0,61.0,DIDI,1.0
24,0.0,73.0,BABA,1.0
25,0.0,73.0,WISH,1.0
26,0.0,74.0,GME,1.0
27,0.0,74.0,TA,1.0
28,0.0,79.0,DKNG,1.0
29,0.0,85.0,IS,1.0
30,0.0,85.0,CAR,1.0
31,0.0,85.0,APP,1.0
32,0.0,89.0,DKNG,1.0
33,0.0,90.0,BNTX,1.0
34,0.0,92.0,BABA,1.0
35,0.0,93.0,LGVN,1.0
36,0.0,94.0,NIO,1.0
37,0.0,96.0,CAR,1.0
38,0.0,97.0,AAL,1.0
39,0.0,98.0,APO,1.0
40,0.0,104.0,ON,1.0
41,0.0,106.0,IS,1.0
42,0.0,106.0,CAR,1.0
43,0.0,106.0,APP,1.0
44,0.0,106.0,TSLA,1.0
45,0.0,108.0,BOE,1.0
46,0.0,108.0,IS,1.0
47,0.0,108.0,KEY,1.0
48,0.0,108.0,FOR,1.0
49,0.0,111.0,DTE,1.0
50,0.0,114.0,RKLB,2.0
51,0.0,114.0,TSLA,1.0
52,0.0,130.0,BB,2.0
53,0.0,130.0,TA,1.0
54,0.0,135.0,DOCU,1.0
55,0.0,137.0,PLBY,1.0
56,0.0,138.0,KR,1.0
57,0.0,140.0,GEO,1.0
58,0.0,140.0,RIG,1.0
59,0.0,144.0,DIS,1.0
60,0.0,147.0,ASAN,3.0
61,0.0,147.0,DKNG,1.0
62,0.0,149.0,JP,1.0
63,0.0,149.0,WISH,1.0
64,0.0,150.0,BABA,1.0
65,0.0,152.0,DIDI,1.0
66,0.0,153.0,FOR,2.0
67,0.0,153.0,BOE,1.0
68,0.0,156.0,DTE,1.0
69,0.0,157.0,CHWY,1.0
70,0.0,158.0,UK,1.0
71,0.0,158.0,HAS,1.0
72,0.0,161.0,BOE,1.0
73,0.0,161.0,UP,1.0
74,0.0,169.0,BB,2.0
75,0.0,169.0,TA,1.0
76,0.0,171.0,DOCU,1.0
77,0.0,175.0,DIDI,1.0
78,0.0,226.0,BAH,1.0
79,0.0,230.0,AMD,1.0
80,0.0,237.0,DOCU,1.0
81,0.0,242.0,WEN,1.0
82,0.0,251.0,JD,1.0
83,0.0,253.0,NIO,1.0
84,0.0,265.0,BABA,1.0
85,0.0,268.0,GO,1.0
86,0.0,268.0,IT,1.0
87,0.0,268.0,DIDI,1.0
88,0.0,268.0,IS,1.0
